participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.role_set,player.bid_amount,player.is_winner,player.item_private_value,player.item_common_value_signal,player.item_common_value,player.item_both_value,player.item_final_value,player.money_earned,player.max_bid,player.min_bid,player.retake,player.bid_amount1,player.bid_amount2,group.id_in_subsession,group.common_value,group.highest_bid,subsession.round_number,subsession.is_practice_round,subsession.total_rounds,subsession.real_rounds,subsession.auction,subsession.switch_group,subsession.switch_type,subsession.a,subsession.b,subsession.c,subsession.d,subsession.endowment,subsession.red_bid,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
11,naqebkuv,leeps_7,0,312,650,common_value_auction,FinalPage,07:57.1,1,,,3025,3,,0,bidder,86,0,120,99,107,227,107,0,125,75,0,86,,3,107,100,1,1,24,20,common,0,1,75,125,75,125,150,1,5520yzzr,,,,,0
12,bpew2qm8,leeps_11,0,312,650,common_value_auction,FinalPage,08:10.7,1,,,2776,4,,0,bidder,0,0,101,112,107,208,107,0,125,75,0,0,,3,107,100,1,1,24,20,common,0,1,75,125,75,125,150,1,5520yzzr,,,,,0
1,emhwyl8i,leeps_3,0,312,650,common_value_auction,FinalPage,07:27.9,1,,,3002,4,,0,bidder,124,1,94,107,96,190,96,0,125,75,0,124,,1,96,124,2,1,24,20,common,0,1,75,125,75,125,150,1,5520yzzr,,,,,0
2,llj6ja7a,leeps_4,0,312,650,common_value_auction,FinalPage,07:30.6,1,,,3175,3,,0,bidder,85,0,89,103,96,185,96,0,125,75,0,85,,1,96,124,2,1,24,20,common,0,1,75,125,75,125,150,1,5520yzzr,,,,,0
3,vpars3n3,leeps_2,0,312,650,common_value_auction,FinalPage,07:35.1,1,,,3128,2,,0,bidder,78,0,78,78,96,174,96,0,125,75,0,78,,1,96,124,2,1,24,20,common,0,1,75,125,75,125,150,1,5520yzzr,,,,,0
4,fp8k6h1d,leeps_1,0,312,650,common_value_auction,FinalPage,07:36.4,1,,,3036,1,,0,auctioneer,,0,77,114,96,173,0,0,0,0,0,,,1,96,124,2,1,24,20,common,0,1,75,125,75,125,150,1,5520yzzr,,,,,0
5,mqt0al14,leeps_8,0,312,650,common_value_auction,FinalPage,07:38.9,1,,,2967,1,,0,auctioneer,,0,85,121,92,177,0,0,0,0,0,,,2,92,119,2,1,24,20,common,0,1,75,125,75,125,150,1,5520yzzr,,,,,0
6,r1x3f9d1,leeps_10,0,312,650,common_value_auction,FinalPage,07:43.3,1,,,2775,4,,0,bidder,76,0,116,76,92,208,92,0,125,75,0,76,,2,92,119,2,1,24,20,common,0,1,75,125,75,125,150,1,5520yzzr,,,,,0
7,1wvf7yqk,leeps_5,0,312,650,common_value_auction,FinalPage,07:45.3,1,,,2935,3,,0,bidder,100,0,94,95,92,186,92,0,125,75,0,100,,2,92,119,2,1,24,20,common,0,1,75,125,75,125,150,1,5520yzzr,,,,,0
8,tg59o8gv,leeps_6,0,312,650,common_value_auction,FinalPage,07:46.8,1,,,3110,2,,0,bidder,119,1,108,106,92,200,92,0,125,75,0,119,,2,92,119,2,1,24,20,common,0,1,75,125,75,125,150,1,5520yzzr,,,,,0
9,vln8v50r,leeps_9,0,312,650,common_value_auction,FinalPage,07:47.6,1,,,3065,1,,0,auctioneer,,0,100,88,102,202,0,0,0,0,0,,,3,102,103,2,1,24,20,common,0,1,75,125,75,125,150,1,5520yzzr,,,,,0
10,yq3wf849,leeps_12,0,312,650,common_value_auction,FinalPage,07:53.2,1,,,2974,4,,0,bidder,100,0,91,107,102,193,102,0,125,75,0,100,,3,102,103,2,1,24,20,common,0,1,75,125,75,125,150,1,5520yzzr,,,,,0
11,naqebkuv,leeps_7,0,312,650,common_value_auction,FinalPage,07:57.1,1,,,3025,3,,0,bidder,103,1,110,98,102,212,102,0,125,75,0,103,,3,102,103,2,1,24,20,common,0,1,75,125,75,125,150,1,5520yzzr,,,,,0
12,bpew2qm8,leeps_11,0,312,650,common_value_auction,FinalPage,08:10.7,1,,,2776,2,,0,bidder,99,0,113,101,102,215,102,0,125,75,0,99,,3,102,103,2,1,24,20,common,0,1,75,125,75,125,150,1,5520yzzr,,,,,0
1,emhwyl8i,leeps_3,0,312,650,common_value_auction,FinalPage,07:27.9,1,,,3002,2,,0,bidder,230,1,106,98,102,208,208,0,250,150,0,230,,1,102,230,3,1,24,20,both,0,1,75,125,75,125,150,1,5520yzzr,,,,,0
2,llj6ja7a,leeps_4,0,312,650,common_value_auction,FinalPage,07:30.6,1,,,3175,4,,0,bidder,190,0,122,112,102,224,224,0,250,150,0,190,,1,102,230,3,1,24,20,both,0,1,75,125,75,125,150,1,5520yzzr,,,,,0
3,vpars3n3,leeps_2,0,312,650,common_value_auction,FinalPage,07:35.1,1,,,3128,3,,0,bidder,197,0,82,97,102,184,184,0,250,150,0,197,,1,102,230,3,1,24,20,both,0,1,75,125,75,125,150,1,5520yzzr,,,,,0
4,fp8k6h1d,leeps_1,0,312,650,common_value_auction,FinalPage,07:36.4,1,,,3036,1,,0,auctioneer,,0,102,122,102,204,0,0,0,0,0,,,1,102,230,3,1,24,20,both,0,1,75,125,75,125,150,1,5520yzzr,,,,,0
5,mqt0al14,leeps_8,0,312,650,common_value_auction,FinalPage,07:38.9,1,,,2967,2,,0,bidder,193,1,106,101,101,207,207,0,250,150,0,193,,2,101,193,3,1,24,20,both,0,1,75,125,75,125,150,1,5520yzzr,,,,,0
6,r1x3f9d1,leeps_10,0,312,650,common_value_auction,FinalPage,07:43.3,1,,,2775,4,,0,bidder,150,0,86,80,101,187,187,0,250,150,0,150,,2,101,193,3,1,24,20,both,0,1,75,125,75,125,150,1,5520yzzr,,,,,0
7,1wvf7yqk,leeps_5,0,312,650,common_value_auction,FinalPage,07:45.3,1,,,2935,1,,0,auctioneer,,0,77,105,101,178,0,0,0,0,0,,,2,101,193,3,1,24,20,both,0,1,75,125,75,125,150,1,5520yzzr,,,,,0
8,tg59o8gv,leeps_6,0,312,650,common_value_auction,FinalPage,07:46.8,1,,,3110,3,,0,bidder,160,0,123,124,101,224,224,0,250,150,0,160,,2,101,193,3,1,24,20,both,0,1,75,125,75,125,150,1,5520yzzr,,,,,0
9,vln8v50r,leeps_9,0,312,650,common_value_auction,FinalPage,07:47.6,1,,,3065,2,,0,bidder,170,0,91,84,89,180,180,0,250,150,0,170,,3,89,195,3,1,24,20,both,0,1,75,125,75,125,150,1,5520yzzr,,,,,0
10,yq3wf849,leeps_12,0,312,650,common_value_auction,FinalPage,07:53.2,1,,,2974,3,,0,bidder,195,1,93,110,89,182,182,0,250,150,0,195,,3,89,195,3,1,24,20,both,0,1,75,125,75,125,150,1,5520yzzr,,,,,0
11,naqebkuv,leeps_7,0,312,650,common_value_auction,FinalPage,07:57.1,1,,,3025,4,,0,bidder,178,0,97,75,89,186,186,0,250,150,0,178,,3,89,195,3,1,24,20,both,0,1,75,125,75,125,150,1,5520yzzr,,,,,0
12,bpew2qm8,leeps_11,0,312,650,common_value_auction,FinalPage,08:10.7,1,,,2776,1,,0,auctioneer,,0,114,116,89,203,0,0,0,0,0,,,3,89,195,3,1,24,20,both,0,1,75,125,75,125,150,1,5520yzzr,,,,,0
1,emhwyl8i,leeps_3,0,312,650,common_value_auction,FinalPage,07:27.9,1,,,3002,3,,0,bidder,180,1,104,122,100,204,204,0,250,150,0,180,,1,100,180,4,1,24,20,both,0,1,75,125,75,125,150,1,5520yzzr,,,,,0
2,llj6ja7a,leeps_4,0,312,650,common_value_auction,FinalPage,07:30.6,1,,,3175,1,,0,auctioneer,,0,101,77,100,201,0,0,0,0,0,,,1,100,180,4,1,24,20,both,0,1,75,125,75,125,150,1,5520yzzr,,,,,0
3,vpars3n3,leeps_2,0,312,650,common_value_auction,FinalPage,07:35.1,1,,,3128,2,,0,bidder,169,0,103,93,100,203,203,0,250,150,0,169,,1,100,180,4,1,24,20,both,0,1,75,125,75,125,150,1,5520yzzr,,,,,0
4,fp8k6h1d,leeps_1,0,312,650,common_value_auction,FinalPage,07:36.4,1,,,3036,4,,0,bidder,170,0,104,85,100,204,204,0,250,150,0,170,,1,100,180,4,1,24,20,both,0,1,75,125,75,125,150,1,5520yzzr,,,,,0
5,mqt0al14,leeps_8,0,312,650,common_value_auction,FinalPage,07:38.9,1,,,2967,4,,0,bidder,195,0,92,108,114,206,206,0,250,150,0,190,195,2,114,230,4,1,24,20,both,0,1,75,125,75,125,150,1,5520yzzr,,,,,0
6,r1x3f9d1,leeps_10,0,312,650,common_value_auction,FinalPage,07:43.3,1,,,2775,1,,0,auctioneer,,0,80,79,114,194,0,0,0,0,1,,,2,114,230,4,1,24,20,both,0,1,75,125,75,125,150,1,5520yzzr,,,,,0
7,1wvf7yqk,leeps_5,0,312,650,common_value_auction,FinalPage,07:45.3,1,,,2935,2,,0,bidder,201,0,75,121,114,189,189,0,250,150,0,250,201,2,114,230,4,1,24,20,both,0,1,75,125,75,125,150,1,5520yzzr,,,,,0
8,tg59o8gv,leeps_6,0,312,650,common_value_auction,FinalPage,07:46.8,1,,,3110,3,,0,bidder,230,1,114,115,114,228,228,0,250,150,0,202,230,2,114,230,4,1,24,20,both,0,1,75,125,75,125,150,1,5520yzzr,,,,,0
9,vln8v50r,leeps_9,0,312,650,common_value_auction,FinalPage,07:47.6,1,,,3065,2,,0,bidder,180,0,77,99,100,177,177,0,250,150,0,180,,3,100,209,4,1,24,20,both,0,1,75,125,75,125,150,1,5520yzzr,,,,,0
10,yq3wf849,leeps_12,0,312,650,common_value_auction,FinalPage,07:53.2,1,,,2974,4,,0,bidder,200,0,105,123,100,205,205,0,250,150,0,200,,3,100,209,4,1,24,20,both,0,1,75,125,75,125,150,1,5520yzzr,,,,,0
11,naqebkuv,leeps_7,0,312,650,common_value_auction,FinalPage,07:57.1,1,,,3025,1,,0,auctioneer,,0,97,85,100,197,0,0,0,0,0,,,3,100,209,4,1,24,20,both,0,1,75,125,75,125,150,1,5520yzzr,,,,,0
12,bpew2qm8,leeps_11,0,312,650,common_value_auction,FinalPage,08:10.7,1,,,2776,3,,0,bidder,209,1,85,80,100,185,185,0,250,150,0,209,,3,100,209,4,1,24,20,both,0,1,75,125,75,125,150,1,5520yzzr,,,,,0
1,emhwyl8i,leeps_3,0,312,650,common_value_auction,FinalPage,07:27.9,1,,,3002,3,,125,bidder,121,1,108,106,96,204,96,0,125,75,0,115,121,3,96,121,5,0,24,20,common,1,1,75,125,75,125,150,1,5520yzzr,,,,,0
2,llj6ja7a,leeps_4,0,312,650,common_value_auction,FinalPage,07:30.6,1,,,3175,4,,150,bidder,75,0,87,77,96,183,96,0,125,75,0,75,75,3,96,121,5,0,24,20,common,1,1,75,125,75,125,150,1,5520yzzr,,,,,0
3,vpars3n3,leeps_2,0,312,650,common_value_auction,FinalPage,07:35.1,1,,,3128,1,,111,auctioneer,,0,107,79,91,198,0,0,0,0,1,,,1,91,111,5,0,24,20,common,1,1,75,125,75,125,150,1,5520yzzr,,,,,0
4,fp8k6h1d,leeps_1,0,312,650,common_value_auction,FinalPage,07:36.4,1,,,3036,4,,150,bidder,86,0,106,92,91,197,91,0,125,75,0,85,86,1,91,111,5,0,24,20,common,1,1,75,125,75,125,150,1,5520yzzr,,,,,0
5,mqt0al14,leeps_8,0,312,650,common_value_auction,FinalPage,07:38.9,1,,,2967,2,,130,bidder,111,1,97,100,91,188,91,0,125,75,0,110,111,1,91,111,5,0,24,20,common,1,1,75,125,75,125,150,1,5520yzzr,,,,,0
6,r1x3f9d1,leeps_10,0,312,650,common_value_auction,FinalPage,07:43.3,1,,,2775,1,,121,auctioneer,,0,77,111,96,173,0,0,0,0,1,,,3,96,121,5,0,24,20,common,1,1,75,125,75,125,150,1,5520yzzr,,,,,0
7,1wvf7yqk,leeps_5,0,312,650,common_value_auction,FinalPage,07:45.3,1,,,2935,2,,150,bidder,90,0,110,75,90,200,90,0,125,75,0,89,90,2,90,121,5,0,24,20,common,1,1,75,125,75,125,150,1,5520yzzr,,,,,0
8,tg59o8gv,leeps_6,0,312,650,common_value_auction,FinalPage,07:46.8,1,,,3110,1,,121,auctioneer,,0,113,97,90,203,0,0,0,0,1,,,2,90,121,5,0,24,20,common,1,1,75,125,75,125,150,1,5520yzzr,,,,,0
9,vln8v50r,leeps_9,0,312,650,common_value_auction,FinalPage,07:47.6,1,,,3065,3,,150,bidder,95,0,93,90,90,183,90,0,125,75,0,105,95,2,90,121,5,0,24,20,common,1,1,75,125,75,125,150,1,5520yzzr,,,,,0
10,yq3wf849,leeps_12,0,312,650,common_value_auction,FinalPage,07:53.2,1,,,2974,2,,150,bidder,105,0,85,106,96,181,96,0,125,75,0,95,105,3,96,121,5,0,24,20,common,1,1,75,125,75,125,150,1,5520yzzr,,,,,0
11,naqebkuv,leeps_7,0,312,650,common_value_auction,FinalPage,07:57.1,1,,,3025,3,,150,bidder,96,0,94,82,91,185,91,0,125,75,0,110,96,1,91,111,5,0,24,20,common,1,1,75,125,75,125,150,1,5520yzzr,,,,,0
12,bpew2qm8,leeps_11,0,312,650,common_value_auction,FinalPage,08:10.7,1,,,2776,4,,119,bidder,121,1,101,105,90,191,90,0,125,75,0,121,121,2,90,121,5,0,24,20,common,1,1,75,125,75,125,150,1,5520yzzr,,,,,0
1,emhwyl8i,leeps_3,0,312,650,common_value_auction,FinalPage,07:27.9,1,,,3002,4,,150,bidder,107,0,88,95,105,193,105,0,125,75,0,107,,1,105,120,6,0,24,20,common,1,1,75,125,75,125,150,1,5520yzzr,,,,,0
2,llj6ja7a,leeps_4,0,312,650,common_value_auction,FinalPage,07:30.6,1,,,3175,1,,120,auctioneer,,0,82,110,105,187,0,0,0,0,0,,,1,105,120,6,0,24,20,common,1,1,75,125,75,125,150,1,5520yzzr,,,,,0
3,vpars3n3,leeps_2,0,312,650,common_value_auction,FinalPage,07:35.1,1,,,3128,3,,150,bidder,97,0,87,82,91,178,91,0,125,75,0,97,97,2,91,99,6,0,24,20,common,1,1,75,125,75,125,150,1,5520yzzr,,,,,0
4,fp8k6h1d,leeps_1,0,312,650,common_value_auction,FinalPage,07:36.4,1,,,3036,2,,142,bidder,99,1,76,103,91,167,91,0,125,75,0,90,99,2,91,99,6,0,24,20,common,1,1,75,125,75,125,150,1,5520yzzr,,,,,0
5,mqt0al14,leeps_8,0,312,650,common_value_auction,FinalPage,07:38.9,1,,,2967,4,,150,bidder,98,0,79,90,91,170,91,0,125,75,0,99,98,2,91,99,6,0,24,20,common,1,1,75,125,75,125,150,1,5520yzzr,,,,,0
6,r1x3f9d1,leeps_10,0,312,650,common_value_auction,FinalPage,07:43.3,1,,,2775,3,,135,bidder,120,1,106,98,105,211,105,0,125,75,0,120,,1,105,120,6,0,24,20,common,1,1,75,125,75,125,150,1,5520yzzr,,,,,0
7,1wvf7yqk,leeps_5,0,312,650,common_value_auction,FinalPage,07:45.3,1,,,2935,3,,150,bidder,99,0,111,88,98,209,98,0,125,75,0,101,99,3,98,121,6,0,24,20,common,1,1,75,125,75,125,150,1,5520yzzr,,,,,0
8,tg59o8gv,leeps_6,0,312,650,common_value_auction,FinalPage,07:46.8,1,,,3110,1,,121,auctioneer,,0,79,95,98,177,0,0,0,0,1,,,3,98,121,6,0,24,20,common,1,1,75,125,75,125,150,1,5520yzzr,,,,,0
9,vln8v50r,leeps_9,0,312,650,common_value_auction,FinalPage,07:47.6,1,,,3065,1,,99,auctioneer,,0,124,110,91,215,0,0,0,0,1,,,2,91,99,6,0,24,20,common,1,1,75,125,75,125,150,1,5520yzzr,,,,,0
10,yq3wf849,leeps_12,0,312,650,common_value_auction,FinalPage,07:53.2,1,,,2974,2,,150,bidder,100,0,112,123,105,217,105,0,125,75,0,100,,1,105,120,6,0,24,20,common,1,1,75,125,75,125,150,1,5520yzzr,,,,,0
11,naqebkuv,leeps_7,0,312,650,common_value_auction,FinalPage,07:57.1,1,,,3025,2,,150,bidder,101,0,101,114,98,199,98,0,125,75,0,118,101,3,98,121,6,0,24,20,common,1,1,75,125,75,125,150,1,5520yzzr,,,,,0
12,bpew2qm8,leeps_11,0,312,650,common_value_auction,FinalPage,08:10.7,1,,,2776,4,,127,bidder,121,1,93,93,98,191,98,0,125,75,0,115,121,3,98,121,6,0,24,20,common,1,1,75,125,75,125,150,1,5520yzzr,,,,,0
1,emhwyl8i,leeps_3,0,312,650,common_value_auction,FinalPage,07:27.9,1,,,3002,1,,125,auctioneer,,0,88,87,99,187,0,0,0,0,0,,,1,99,125,7,0,24,20,common,1,1,75,125,75,125,150,1,5520yzzr,,,,,0
2,llj6ja7a,leeps_4,0,312,650,common_value_auction,FinalPage,07:30.6,1,,,3175,2,,150,bidder,75,0,76,83,99,175,99,0,125,75,0,75,,1,99,125,7,0,24,20,common,1,1,75,125,75,125,150,1,5520yzzr,,,,,0
3,vpars3n3,leeps_2,0,312,650,common_value_auction,FinalPage,07:35.1,1,,,3128,2,,150,bidder,99,0,76,81,94,170,94,0,125,75,0,100,99,3,94,102,7,0,24,20,common,1,1,75,125,75,125,150,1,5520yzzr,,,,,0
4,fp8k6h1d,leeps_1,0,312,650,common_value_auction,FinalPage,07:36.4,1,,,3036,4,,150,bidder,90,0,100,84,88,188,88,0,125,75,0,80,90,2,88,99,7,0,24,20,common,1,1,75,125,75,125,150,1,5520yzzr,,,,,0
5,mqt0al14,leeps_8,0,312,650,common_value_auction,FinalPage,07:38.9,1,,,2967,1,,102,auctioneer,,0,102,75,94,196,0,0,0,0,1,,,3,94,102,7,0,24,20,common,1,1,75,125,75,125,150,1,5520yzzr,,,,,0
6,r1x3f9d1,leeps_10,0,312,650,common_value_auction,FinalPage,07:43.3,1,,,2775,3,,124,bidder,125,1,119,98,99,218,99,0,125,75,0,125,,1,99,125,7,0,24,20,common,1,1,75,125,75,125,150,1,5520yzzr,,,,,0
7,1wvf7yqk,leeps_5,0,312,650,common_value_auction,FinalPage,07:45.3,1,,,2935,3,,139,bidder,99,1,95,97,88,183,88,0,125,75,0,102,99,2,88,99,7,0,24,20,common,1,1,75,125,75,125,150,1,5520yzzr,,,,,0
8,tg59o8gv,leeps_6,0,312,650,common_value_auction,FinalPage,07:46.8,1,,,3110,4,,142,bidder,102,1,92,110,94,186,94,0,125,75,0,98,102,3,94,102,7,0,24,20,common,1,1,75,125,75,125,150,1,5520yzzr,,,,,0
9,vln8v50r,leeps_9,0,312,650,common_value_auction,FinalPage,07:47.6,1,,,3065,4,,150,bidder,120,0,101,118,99,200,99,0,125,75,0,120,,1,99,125,7,0,24,20,common,1,1,75,125,75,125,150,1,5520yzzr,,,,,0
10,yq3wf849,leeps_12,0,312,650,common_value_auction,FinalPage,07:53.2,1,,,2974,3,,150,bidder,100,0,104,93,94,198,94,0,125,75,0,90,100,3,94,102,7,0,24,20,common,1,1,75,125,75,125,150,1,5520yzzr,,,,,0
11,naqebkuv,leeps_7,0,312,650,common_value_auction,FinalPage,07:57.1,1,,,3025,2,,150,bidder,85,0,117,84,88,205,88,0,125,75,0,99,85,2,88,99,7,0,24,20,common,1,1,75,125,75,125,150,1,5520yzzr,,,,,0
12,bpew2qm8,leeps_11,0,312,650,common_value_auction,FinalPage,08:10.7,1,,,2776,1,,99,auctioneer,,0,85,116,88,173,0,0,0,0,1,,,2,88,99,7,0,24,20,common,1,1,75,125,75,125,150,1,5520yzzr,,,,,0
1,emhwyl8i,leeps_3,0,312,650,common_value_auction,FinalPage,07:27.9,1,,,3002,3,,128,bidder,113,1,101,116,91,192,91,0,125,75,0,113,,3,91,113,8,0,24,20,common,1,1,75,125,75,125,150,1,5520yzzr,,,,,0
2,llj6ja7a,leeps_4,0,312,650,common_value_auction,FinalPage,07:30.6,1,,,3175,4,,150,bidder,75,0,92,75,91,183,91,0,125,75,0,75,,3,91,113,8,0,24,20,common,1,1,75,125,75,125,150,1,5520yzzr,,,,,0
3,vpars3n3,leeps_2,0,312,650,common_value_auction,FinalPage,07:35.1,1,,,3128,3,,150,bidder,88,0,110,76,86,196,86,0,125,75,0,88,,2,86,97,8,0,24,20,common,1,1,75,125,75,125,150,1,5520yzzr,,,,,0
4,fp8k6h1d,leeps_1,0,312,650,common_value_auction,FinalPage,07:36.4,1,,,3036,1,,97,auctioneer,,0,109,107,86,195,0,0,0,0,0,,,2,86,97,8,0,24,20,common,1,1,75,125,75,125,150,1,5520yzzr,,,,,0
5,mqt0al14,leeps_8,0,312,650,common_value_auction,FinalPage,07:38.9,1,,,2967,4,,139,bidder,97,1,82,100,86,168,86,0,125,75,0,97,,2,86,97,8,0,24,20,common,1,1,75,125,75,125,150,1,5520yzzr,,,,,0
6,r1x3f9d1,leeps_10,0,312,650,common_value_auction,FinalPage,07:43.3,1,,,2775,3,,114,bidder,125,1,106,114,89,195,89,0,125,75,0,125,,1,89,125,8,0,24,20,common,1,1,75,125,75,125,150,1,5520yzzr,,,,,0
7,1wvf7yqk,leeps_5,0,312,650,common_value_auction,FinalPage,07:45.3,1,,,2935,2,,150,bidder,87,0,121,83,91,212,91,0,125,75,0,87,,3,91,113,8,0,24,20,common,1,1,75,125,75,125,150,1,5520yzzr,,,,,0
8,tg59o8gv,leeps_6,0,312,650,common_value_auction,FinalPage,07:46.8,1,,,3110,2,,150,bidder,78,0,113,77,89,202,89,0,125,75,0,78,,1,89,125,8,0,24,20,common,1,1,75,125,75,125,150,1,5520yzzr,,,,,0
9,vln8v50r,leeps_9,0,312,650,common_value_auction,FinalPage,07:47.6,1,,,3065,1,,125,auctioneer,,0,88,106,89,177,0,0,0,0,0,,,1,89,125,8,0,24,20,common,1,1,75,125,75,125,150,1,5520yzzr,,,,,0
10,yq3wf849,leeps_12,0,312,650,common_value_auction,FinalPage,07:53.2,1,,,2974,2,,150,bidder,90,0,96,83,86,182,86,0,125,75,0,90,,2,86,97,8,0,24,20,common,1,1,75,125,75,125,150,1,5520yzzr,,,,,0
11,naqebkuv,leeps_7,0,312,650,common_value_auction,FinalPage,07:57.1,1,,,3025,1,,113,auctioneer,,0,85,92,91,176,0,0,0,0,0,,,3,91,113,8,0,24,20,common,1,1,75,125,75,125,150,1,5520yzzr,,,,,0
12,bpew2qm8,leeps_11,0,312,650,common_value_auction,FinalPage,08:10.7,1,,,2776,4,,150,bidder,123,0,109,77,89,198,89,0,125,75,0,123,,1,89,125,8,0,24,20,common,1,1,75,125,75,125,150,1,5520yzzr,,,,,0
1,emhwyl8i,leeps_3,0,312,650,common_value_auction,FinalPage,07:27.9,1,,,3002,1,,112,auctioneer,,0,121,77,104,225,0,0,0,0,1,,,2,104,112,9,0,24,20,common,1,1,75,125,75,125,150,1,5520yzzr,,,,,0
2,llj6ja7a,leeps_4,0,312,650,common_value_auction,FinalPage,07:30.6,1,,,3175,1,,125,auctioneer,,0,116,77,104,220,0,0,0,0,1,,,3,104,125,9,0,24,20,common,1,1,75,125,75,125,150,1,5520yzzr,,,,,0
3,vpars3n3,leeps_2,0,312,650,common_value_auction,FinalPage,07:35.1,1,,,3128,1,,125,auctioneer,,0,106,94,104,210,0,0,0,0,1,,,1,104,125,9,0,24,20,common,1,1,75,125,75,125,150,1,5520yzzr,,,,,0
4,fp8k6h1d,leeps_1,0,312,650,common_value_auction,FinalPage,07:36.4,1,,,3036,2,,150,bidder,95,0,83,113,104,187,104,0,125,75,0,100,95,2,104,112,9,0,24,20,common,1,1,75,125,75,125,150,1,5520yzzr,,,,,0
5,mqt0al14,leeps_8,0,312,650,common_value_auction,FinalPage,07:38.9,1,,,2967,2,,150,bidder,93,0,104,82,104,208,104,0,125,75,0,89,93,1,104,125,9,0,24,20,common,1,1,75,125,75,125,150,1,5520yzzr,,,,,0
6,r1x3f9d1,leeps_10,0,312,650,common_value_auction,FinalPage,07:43.3,1,,,2775,2,,150,bidder,125,0,118,101,104,222,104,0,125,75,0,123,125,3,104,125,9,0,24,20,common,1,1,75,125,75,125,150,1,5520yzzr,,,,,0
7,1wvf7yqk,leeps_5,0,312,650,common_value_auction,FinalPage,07:45.3,1,,,2935,3,,150,bidder,87,0,103,83,104,207,104,0,125,75,0,91,87,2,104,112,9,0,24,20,common,1,1,75,125,75,125,150,1,5520yzzr,,,,,0
